"CÓDIGO ÓRGÃO SUPERIOR";"NOME ÓRGÃO SUPERIOR";"CÓDIGO ÓRGÃO";"NOME ÓRGÃO";"CÓDIGO UNIDADE GESTORA";"NOME UNIDADE GESTORA";"CATEGORIA ECONÔMICA";"ORIGEM RECEITA";"ESPÉCIE RECEITA";"DETALHAMENTO";"VALOR PREVISTO ATUALIZADO";"VALOR LANÇADO";"VALOR REALIZADO";"PERCENTUAL REALIZADO";"DATA LANÇAMENTO";"ANO EXERCÍCIO"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"RECEITA DE HONORÁRIOS DE ADVOGADOS";"0,00";"0,00";"46699948,08";"0,00";"31/12/2014";"2014"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"Sem informação";"0,00";"0,00";"1784084,00";"0,00";"31/12/2014";"2014"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"Sem informação";"0,00";"0,00";"58544,25";"0,00";"31/12/2014";"2014"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"Sem informação";"0,00";"0,00";"15920,83";"0,00";"31/12/2014";"2014"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"Sem informação";"0,00";"0,00";"2195899,92";"0,00";"31/12/2014";"2014"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes - intra-orçamentárias";"Outras Receitas Correntes";"Indenizações e restituições";"Sem informação";"0,00";"0,00";"232,02";"0,00";"31/12/2014";"2014"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Receita de Serviços";"Sem informação";"Sem informação";"0,00";"0,00";"367815,01";"0,00";"31/12/2014";"2014"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"Sem informação";"0,00";"0,00";"1183207,71";"0,00";"31/12/2014";"2014"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas de Capital";"Operações de Crédito";"Operações de crédito - mercado externo";"Sem informação";"2300000,00";"0,00";"0,00";"0,00";"31/12/2014";"2014"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"REC.DIVIDA ATIVA NAO TRIBUTARIA DE OUTRAS REC";"0,00";"0,00";"3316,55";"0,00";"31/12/2014";"2014"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"Sem informação";"0,00";"0,00";"351677,27";"0,00";"31/12/2014";"2014"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"RECEITA DE ÔNUS DE SUCUMBÊNCIA";"0,00";"0,00";"17356434,88";"0,00";"31/12/2014";"2014"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"Sem informação";"0,00";"0,00";"31431,12";"0,00";"31/12/2014";"2014"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"Sem informação";"0,00";"0,00";"11454509,77";"0,00";"31/12/2014";"2014"
"91001";"Governo do Distrito Federal - DAR";"91001";"Governo do Distrito Federal - DAR - Unidades com vínculo direto";"910004";"GOVERNO DO DISTRITO FEDERAL - CONTA UNICA";"Receitas Correntes";"Receitas Correntes - a classificar";"Sem informação";"Sem informação";"0,00";"0,00";"1042125,37";"0,00";"31/12/2014";"2014"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Transferências Correntes";"Transferências de Convênios";"Sem informação";"0,00";"0,00";"100,45";"0,00";"31/12/2014";"2014"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Transferências Correntes";"Transferências de Convênios";"Sem informação";"0,00";"0,00";"984391,40";"0,00";"31/12/2014";"2014"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22905";"Fundo de Defesa da Economia Cafeeira";"130137";"FUNDO DE DEFESA DA ECON.CAFEEIRA/FUNCAFE/SPA";"Receitas de Capital";"Outras Receitas de Capital";"Receita dívida ativa proveniente de amortizaç";"Sem informação";"2060318,00";"0,00";"0,00";"0,00";"31/12/2014";"2014"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135037";"EMBRAPA-SETORIAL";"Receitas Correntes";"Transferências Correntes";"Transferências de Convênios";"Sem informação";"0,00";"0,00";"71815,57";"0,00";"31/12/2014";"2014"
